"Code","French","English"
"20.52Z","Fabrication de colles","Manufacture of glues"
"20.53","Fabrication d'huiles essentielles","Manufacture of essential oils"
"20.53Z","Fabrication d'huiles essentielles","Manufacture of essential oils"
"20.59","Fabrication d'autres produits chimiques n.c.a.","Manufacture of other chemical products n.e.c."
"20.59Z","Fabrication d'autres produits chimiques n.c.a.","Manufacture of other chemical products n.e.c."
"20.6","Fabrication de fibres artificielles ou synthétiques","Manufacture of man-made fibres"
"20.60","Fabrication de fibres artificielles ou synthétiques","Manufacture of man-made fibres"
"20.60Z","Fabrication de fibres artificielles ou synthétiques","Manufacture of man-made fibres"
"21","Industrie pharmaceutique","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"21.1","Fabrication de produits pharmaceutiques de base","Manufacture of basic pharmaceutical products"
"21.10","Fabrication de produits pharmaceutiques de base","Manufacture of basic pharmaceutical products"
"21.10Z","Fabrication de produits pharmaceutiques de base","Manufacture of basic pharmaceutical products"
"21.2","Fabrication de préparations pharmaceutiques","Manufacture of pharmaceutical preparations"
"21.20","Fabrication de préparations pharmaceutiques","Manufacture of pharmaceutical preparations"
"21.20Z","Fabrication de préparations pharmaceutiques","Manufacture of pharmaceutical preparations"
"22","Fabrication de produits en caoutchouc et en plastique","Manufacture of rubber and plastic products"
"22.1","Fabrication de produits en caoutchouc","Manufacture of rubber products"
"22.11","Fabrication et rechapage de pneumatiques","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"22.11Z","Fabrication et rechapage de pneumatiques","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"22.19","Fabrication d'autres articles en caoutchouc","Manufacture of other rubber products"
"22.19Z","Fabrication d'autres articles en caoutchouc","Manufacture of other rubber products"
"22.2","Fabrication de produits en plastique","Manufacture of plastics products"
"22.21","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","Manufacture of plastic plates, sheets, tubes and profiles"
"22.21Z","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","Manufacture of plastic plates, sheets, tubes and profiles"
"22.22","Fabrication d'emballages en matières plastiques","Manufacture of plastic packing goods"
"22.22Z","Fabrication d'emballages en matières plastiques","Manufacture of plastic packing goods"
"22.23","Fabrication d'éléments en matières plastiques pour la construction","Manufacture of builders' ware of plastic"
"22.23Z","Fabrication d'éléments en matières plastiques pour la construction","Manufacture of builders' ware of plastic"
"22.29","Fabrication d'autres articles en matières plastiques","Manufacture of other plastic products"
"22.29A","Fabrication de pièces techniques à base de matières plastiques","Manufacture of plastic-based technical parts"
"22.29B","Fabrication de produits de consommation courante en matières plastiques","Manufacture of common consumer goods of plastic products"
"23","Fabrication d'autres produits minéraux non métalliques","Manufacture of other non-metallic mineral products"
"23.1","Fabrication de verre et d'articles en verre","Manufacture of glass and glass products"
"23.11","Fabrication de verre plat","Manufacture of flat glass"
"23.11Z","Fabrication de verre plat","Manufacture of flat glass"
"23.12","Façonnage et transformation du verre plat","Shaping and processing of flat glass"
"23.12Z","Façonnage et transformation du verre plat","Shaping and processing of flat glass"
"23.13","Fabrication de verre creux","Manufacture of hollow glass"
"23.13Z","Fabrication de verre creux","Manufacture of hollow glass"
"23.14","Fabrication de fibres de verre","Manufacture of glass fibres"
"23.14Z","Fabrication de fibres de verre","Manufacture of glass fibres"
"23.19","Fabrication et façonnage d'autres articles en verre, y compris verre technique","Manufacture and processing of other glass, including technical glassware"
"23.19Z","Fabrication et façonnage d'autres articles en verre, y compris verre technique","Manufacture and processing of other glass, including technical glassware"
"23.2","Fabrication de produits réfractaires","Manufacture of refractory products"
"23.20","Fabrication de produits réfractaires","Manufacture of refractory products"
"23.20Z","Fabrication de produits réfractaires","Manufacture of refractory products"
"23.3","Fabrication de matériaux de construction en terre cuite","Manufacture of clay building materials"
"23.31","Fabrication de carreaux en céramique","Manufacture of ceramic tiles and flags"
"23.31Z","Fabrication de carreaux en céramique","Manufacture of ceramic tiles and flags"
"23.32","Fabrication de briques, tuiles et produits de construction, en terre cuite","Manufacture of bricks, tiles and construction products, in baked clay"
"23.32Z","Fabrication de briques, tuiles et produits de construction, en terre cuite","Manufacture of bricks, tiles and construction products, in baked clay"
"23.4","Fabrication d'autres produits en céramique et en porcelaine","Manufacture of other porcelain and ceramic products"
"23.41","Fabrication d'articles céramiques à usage domestique ou ornemental","Manufacture of ceramic household and ornamental articles"
"23.41Z","Fabrication d'articles céramiques à usage domestique ou ornemental","Manufacture of ceramic household and ornamental articles"
"23.42","Fabrication d'appareils sanitaires en céramique","Manufacture of ceramic sanitary fixtures"
"23.42Z","Fabrication d'appareils sanitaires en céramique","Manufacture of ceramic sanitary fixtures"
"23.43","Fabrication d'isolateurs et pièces isolantes en céramique","Manufacture of ceramic insulators and insulating fittings"
"23.43Z","Fabrication d'isolateurs et pièces isolantes en céramique","Manufacture of ceramic insulators and insulating fittings"
"23.44","Fabrication d'autres produits céramiques à usage technique","Manufacture of other technical ceramic products"
"23.44Z","Fabrication d'autres produits céramiques à usage technique","Manufacture of other technical ceramic products"
"23.49","Fabrication d'autres produits céramiques","Manufacture of other ceramic products"
"23.49Z","Fabrication d'autres produits céramiques","Manufacture of other ceramic products"
"23.5","Fabrication de ciment, chaux et plâtre","Manufacture of cement, lime and plaster"
"23.51","Fabrication de ciment","Manufacture of cement"
"23.51Z","Fabrication de ciment","Manufacture of cement"
"23.52","Fabrication de chaux et plâtre","Manufacture of lime and plaster"
"23.52Z","Fabrication de chaux et plâtre","Manufacture of lime and plaster"
"23.6","Fabrication d'ouvrages en béton, en ciment ou en plâtre","Manufacture of articles of concrete, cement and plaster"
"23.61","Fabrication d'éléments en béton pour la construction","Manufacture of concrete products for construction purposes"
"23.61Z","Fabrication d'éléments en béton pour la construction","Manufacture of concrete products for construction purposes"
"23.62","Fabrication d'éléments en plâtre pour la construction","Manufacture of plaster products for construction purposes"
"23.62Z","Fabrication d'éléments en plâtre pour la construction","Manufacture of plaster products for construction purposes"
"23.63","Fabrication de béton prêt à l'emploi","Manufacture of ready-mixed concrete"
"23.63Z","Fabrication de béton prêt à l'emploi","Manufacture of ready-mixed concrete"
"23.64","Fabrication de mortiers et bétons secs","Manufacture of mortars"
"23.64Z","Fabrication de mortiers et bétons secs","Manufacture of mortars"
"23.65","Fabrication d'ouvrages en fibre-ciment","Manufacture of fibre cement"
"23.65Z","Fabrication d'ouvrages en fibre-ciment","Manufacture of fibre cement"
"23.69","Fabrication d'autres ouvrages en béton, en ciment ou en plâtre","Manufacture of other articles of concrete, plaster and cement"
"23.69Z","Fabrication d'autres ouvrages en béton, en ciment ou en plâtre","Manufacture of other articles of concrete, plaster and cement"
"23.7","Taille, façonnage et finissage de pierres","Cutting, shaping and finishing of stone"
"23.70","Taille, façonnage et finissage de pierres","Cutting, shaping and finishing of stone"
"23.70Z","Taille, façonnage et finissage de pierres","Cutting, shaping and finishing of stone"
"23.9","Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.","Manufacture of abrasive products and non-metallic mineral products n.e.c."
"23.91","Fabrication de produits abrasifs","Production of abrasive products"
"23.91Z","Fabrication de produits abrasifs","Production of abrasive products"
"23.99","Fabrication d'autres produits minéraux non métalliques n.c.a.","Manufacture of other non-metallic mineral products n.e.c."
"23.99Z","Fabrication d'autres produits minéraux non métalliques n.c.a.","Manufacture of other non-metallic mineral products n.e.c."
"24","Métallurgie","Manufacture of basic metals"
"24.1","Sidérurgie","Manufacture of basic iron and steel and of ferro-alloys"
"24.10","Sidérurgie","Manufacture of basic iron and steel and of ferro-alloys"
"24.10Z","Sidérurgie","Manufacture of basic iron and steel and of ferro-alloys"
"24.2","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"24.20","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"24.20Z","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"24.3","Fabrication d'autres produits de première transformation de l'acier","Manufacture of other products of first processing of steel"
"24.31","Étirage à froid de barres","Cold drawing of bars"
"24.31Z","Étirage à froid de barres","Cold drawing of bars"
"24.32","Laminage à froid de feuillards","Cold rolling of narrow strip"
"24.32Z","Laminage à froid de feuillards","Cold rolling of narrow strip"
"24.33","Profilage à froid par formage ou pliage","Cold forming or folding"
"24.33Z","Profilage à froid par formage ou pliage","Cold forming or folding"
"24.34","Tréfilage à froid","Cold drawing of wire"
"24.34Z","Tréfilage à froid","Cold drawing of wire"
"24.4","Production de métaux précieux et d'autres métaux non ferreux","Manufacture of basic precious and other non-ferrous metals"
"24.41","Production de métaux précieux","Precious metals production"
"24.41Z","Production de métaux précieux","Precious metals production"
"24.42","Métallurgie de l'aluminium","Aluminium production"
"24.42Z","Métallurgie de l'aluminium","Aluminium production"
"24.43","Métallurgie du plomb, du zinc ou de l'étain","Lead, zinc and tin production"
"24.43Z","Métallurgie du plomb, du zinc ou de l'étain","Lead, zinc and tin production"
"24.44","Métallurgie du cuivre","Copper production"
"24.44Z","Métallurgie du cuivre","Copper production"
"24.45","Métallurgie des autres métaux non ferreux","Other non-ferrous metal production"
"24.45Z","Métallurgie des autres métaux non ferreux","Other non-ferrous metal production"
"24.46","Élaboration et transformation de matières nucléaires","Processing of nuclear fuel"
"24.46Z","Élaboration et transformation de matières nucléaires","Processing of nuclear fuel"
"24.5","Fonderie","Casting of metals"
"24.51","Fonderie de fonte","Casting of iron"
"24.51Z","Fonderie de fonte","Casting of iron"
"24.52","Fonderie d'acier","Casting of steel"
"24.52Z","Fonderie d'acier","Casting of steel"
"24.53","Fonderie de métaux légers","Casting of light metals"
"24.53Z","Fonderie de métaux légers","Casting of light metals"
"24.54","Fonderie d'autres métaux non ferreux","Casting of other non-ferrous metals"
"24.54Z","Fonderie d'autres métaux non ferreux","Casting of other non-ferrous metals"
"25","Fabrication de produits métalliques, à l'exception des machines et des équipements","Manufacture of fabricated metal products, except machinery and equipment"
"25.1","Fabrication d'éléments en métal pour la construction","Manufacture of structural metal products"
"25.11","Fabrication de structures métalliques et de parties de structures","Manufacture of metal structures and parts of structures"
"font size="2" face="Arial">25.11Z","Fabrication de structures métalliques et de parties de structures","Manufacture of metal structures and parts of structures"
"25.12","Fabrication de portes et fenêtres en métal","Manufacture of doors and windows of metal"
"25.12Z","Fabrication de portes et fenêtres en métal","Manufacture of doors and windows of metal"
"25.2","Fabrication de réservoirs, citernes et conteneurs métalliques","Manufacture of tanks, reservoirs and containers of metal"
"25.21","Fabrication de radiateurs et de chaudières pour le chauffage central","Manufacture of central heating radiators and boilers"
"25.21Z","Fabrication de radiateurs et de chaudières pour le chauffage central","Manufacture of central heating radiators and boilers"
"25.29","Fabrication d'autres réservoirs, citernes et conteneurs métalliques","Manufacture of other tanks, reservoirs and containers of metal"
"25.29Z","Fabrication d'autres réservoirs, citernes et conteneurs métalliques","Manufacture of other tanks, reservoirs and containers of metal"
"25.3","Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central","Manufacture of steam generators, except central heating hot water boilers"
"25.30","Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central","Manufacture of steam generators, except central heating hot water boilers"
"25.30Z","Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central","Manufacture of steam generators, except central heating hot water boilers"
"25.4","Fabrication d'armes et de munitions","Manufacture of weapons and ammunition"
"25.40","Fabrication d'armes et de munitions","Manufacture of weapons and ammunition"
"25.40Z","Fabrication d'armes et de munitions","Manufacture of weapons and ammunition"
"25.5","Forge, emboutissage, estampage; métallurgie des poudres","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"25.50","Forge, emboutissage, estampage; métallurgie des poudres","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"25.50A","Forge, estampage, matriçage; métallurgie des poudres","Forging, pressing, stamping; powder metallurgy"
"25.50B","Découpage, emboutissage","Cutting out, pressing"
"25.6","Traitement et revêtement des métaux; usinage","Treatment and coating of metals; machining"
"25.61","Traitement et revêtement des métaux","Treatment and coating of metals"
"25.61Z","Traitement et revêtement des métaux","Treatment and coating of metals"
"25.62","Usinage","Machining"
"25.62A","Décolletage","Cutting-off"
"25.62B","Mécanique industrielle","Industrial mechanical engineering"
"25.7","Fabrication de coutellerie, d'outillage et de quincaillerie","Manufacture of cutlery, tools and general hardware"
"25.71","Fabrication de coutellerie","Manufacture of cutlery"
"25.71Z","Fabrication de coutellerie","Manufacture of cutlery"
"25.72","Fabrication de serrures et de ferrures","Manufacture of locks and hinges"
"25.72Z","Fabrication de serrures et de ferrures","Manufacture of locks and hinges"
"25.73","Fabrication d'outillage","Manufacture of tools"
"25.73A","Fabrication de moules et modèles","Manufacture of moulds and models"
"25.73B","Fabrication d'autres outillages","Manufacture of other tools"
"25.9","Fabrication d'autres ouvrages en métaux","Manufacture of other fabricated metal products"
"25.91","Fabrication de fûts et emballages métalliques similaires","Manufacture of steel drums and similar containers"
"25.91Z","Fabrication de fûts et emballages métalliques similaires","Manufacture of steel drums and similar containers"
"25.92","Fabrication d'emballages métalliques légers","Manufacture of light metal packaging"
"25.92Z","Fabrication d'emballages métalliques légers","Manufacture of light metal packaging"
"25.93","Fabrication d'articles en fils métalliques, de chaînes et de ressorts","Manufacture of wire products, chain and springs"
"25.93Z","Fabrication d'articles en fils métalliques, de chaînes et de ressorts","Manufacture of wire products, chain and springs"
"25.94","Fabrication de vis et de boulons","Manufacture of fasteners and screw machine products"
"25.94Z","Fabrication de vis et de boulons","Manufacture of fasteners and screw machine products"
"25.99","Fabrication d'autres produits métalliques n.c.a.","Manufacture of other fabricated metal products n.e.c."
"25.99A","Fabrication d'articles métalliques ménagers","Manufacture of household fabricated metal articles"
"25.99B","Fabrication d'autres articles métalliques","Manufacture of other fabricated metal articles"
"26","Fabrication de produits informatiques, électroniques et optiques","Manufacture of computer, electronic and optical products"
"26.1","Fabrication de composants et cartes électroniques","Manufacture of electronic components and boards"
"26.11","Fabrication de composants électroniques","Manufacture of electronic components"
"26.11Z","Fabrication de composants électroniques","Manufacture of electronic components"
"26.12","Fabrication de cartes électroniques assemblées","Manufacture of loaded electronic boards"
"26.12Z","Fabrication de cartes électroniques assemblées","Manufacture of loaded electronic boards"
"26.2","Fabrication d'ordinateurs et d'équipements périphériques","Manufacture of computers and peripheral equipment"
"26.20","Fabrication d'ordinateurs et d'équipements périphériques","Manufacture of computers and peripheral equipment"
"26.20Z","Fabrication d'ordinateurs et d'équipements périphériques","Manufacture of computers and peripheral equipment"
"26.3","Fabrication d'équipements de communication","Manufacture of communication equipment"
"26.30","Fabrication d'équipements de communication","Manufacture of communication equipment"
"26.30Z","Fabrication d'équipements de communication","Manufacture of communication equipment"
"26.4","Fabrication de produits électroniques grand public","Manufacture of consumer electronics"
"26.40","Fabrication de produits électroniques grand public","Manufacture of consumer electronics"
"26.40Z","Fabrication de produits électroniques grand public","Manufacture of consumer electronics"
"26.5","Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
"26.51","Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Manufacture of instruments and appliances for measuring, testing and navigation"
"26.51A","Fabrication d'équipements d'aide à la navigation","Manufacture of aid to navigation equipment"
"26.51B","Fabrication d'instrumentation scientifique et technique","Manufacture of scientific and technical instruments"
"26.52","Horlogerie","Manufacture of watches and clocks"
"26.52Z","Horlogerie","Manufacture of watches and clocks"
"26.6","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"26.60","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"26.60Z","Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"26.7","Fabrication de matériels optique et photographique","Manufacture of optical instruments and photographic equipment"
"26.70","Fabrication de matériels optique et photographique","Manufacture of optical instruments and photographic equipment"
"26.70Z","Fabrication de matériels optique et photographique","Manufacture of optical instruments and photographic equipment"
"26.8","Fabrication de supports magnétiques et optiques","Manufacture of magnetic and optical media"
"26.80","Fabrication de supports magnétiques et optiques","Manufacture of magnetic and optical media"
"26.80Z","Fabrication de supports magnétiques et optiques","Manufacture of magnetic and optical media"
"27","Fabrication d'équipements électriques","Manufacture of electrical equipment"
"27.1","Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"27.11","Fabrication de moteurs, génératrices et transformateurs électriques","Manufacture of electric motors, generators and transformers"
"27.11Z","Fabrication de moteurs, génératrices et transformateurs électriques","Manufacture of electric motors, generators and transformers"
"27.12","Fabrication de matériel de distribution et de commande électrique","Manufacture of electricity distribution and control apparatus"
"27.12Z","Fabrication de matériel de distribution et de commande électrique","Manufacture of electricity distribution and control apparatus"
"27.2","Fabrication de piles et d'accumulateurs électriques","Manufacture of batteries and accumulators"
"27.20","Fabrication de piles et d'accumulateurs électriques","Manufacture of batteries and accumulators"
"27.20Z","Fabrication de piles et d'accumulateurs électriques","Manufacture of batteries and accumulators"
"27.3","Fabrication de fils et câbles et de matériel d'installation électrique","Manufacture of wiring and wiring devices"
"27.31","Fabrication de câbles de fibres optiques","Manufacture of fibre optic cables"
"27.31Z","Fabrication de câbles de fibres optiques","Manufacture of fibre optic cables"
"27.32","Fabrication d'autres fils et câbles électroniques ou électriques","Manufacture of other electronic and electric wires and cables"
"27.32Z","Fabrication d'autres fils et câbles électroniques ou électriques","Manufacture of other electronic and electric wires and cables"
"27.33","Fabrication de matériel d'installation électrique","Manufacture of wiring devices"
"27.33Z","Fabrication de matériel d'installation électrique","Manufacture of wiring devices"
"27.4","Fabrication d'appareils d'éclairage électrique","Manufacture of electric lighting equipment"
"27.40","Fabrication d'appareils d'éclairage électrique","Manufacture of electric lighting equipment"
"27.40Z","Fabrication d'appareils d'éclairage électrique","Manufacture of electric lighting equipment"
"27.5","Fabrication d'appareils ménagers","Manufacture of domestic appliances"
"27.51","Fabrication d'appareils électroménagers","Manufacture of electric domestic appliances"
"27.51Z","Fabrication d'appareils électroménagers","Manufacture of electric domestic appliances"
"27.52","Fabrication d'appareils ménagers non électriques","Manufacture of non-electric domestic appliances"
"27.52Z","Fabrication d'appareils ménagers non électriques","Manufacture of non-electric domestic appliances"
"27.9","Fabrication d'autres matériels électriques","Manufacture of other electrical equipment"
"27.90","Fabrication d'autres matériels électriques","Manufacture of other electrical equipment"
"27.90Z","Fabrication d'autres matériels électriques","Manufacture of other electrical equipment"
"28","Fabrication de machines et équipements n.c.a.","Manufacture of machinery and equipment n.e.c."
"28.1","Fabrication de machines d'usage général","Manufacture of general-purpose machinery"
"28.11","Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
"28.11Z","Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
"28.12","Fabrication d'équipements hydrauliques et pneumatiques","Manufacture of fluid power equipment"
"28.12Z","Fabrication d'équipements hydrauliques et pneumatiques","Manufacture of fluid power equipment"
"28.13","Fabrication d'autres pompes et compresseurs","Manufacture of other pumps and compressors"
"28.13Z","Fabrication d'autres pompes et compresseurs","Manufacture of other pumps and compressors"
"28.14","Fabrication d'autres articles de robinetterie","Manufacture of other taps and valves"
"28.14Z","Fabrication d'autres articles de robinetterie","Manufacture of other taps and valves"
"28.15","Fabrication d'engrenages et d'organes mécaniques de transmission","Manufacture of bearings, gears, gearing and driving elements"
"28.15Z","Fabrication d'engrenages et d'organes mécaniques de transmission","Manufacture of bearings, gears, gearing and driving elements"
"28.2","Fabrication d'autres machines d'usage général","Manufacture of other general-purpose machinery"
"28.21","Fabrication de fours et brûleurs","Manufacture of ovens, furnaces and furnace burners"
"28.21Z","Fabrication de fours et brûleurs","Manufacture of ovens, furnaces and furnace burners"
"28.22","Fabrication de matériel de levage et de manutention","Manufacture of lifting and handling equipment"
"28.22Z","Fabrication de matériel de levage et de manutention","Manufacture of lifting and handling equipment"
"28.23","Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)","Manufacture of office machinery and equipment (except computers and peripheral equipment)"
"28.23Z","Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)","Manufacture of office machinery and equipment (except computers and peripheral equipment)"
"28.24","Fabrication d'outillage portatif à moteur incorporé","Manufacture of power-driven hand tools"
"28.24Z","Fabrication d'outillage portatif à moteur incorporé","Manufacture of power-driven hand tools"
"28.25","Fabrication d'équipements aérauliques et frigorifiques industriels","Manufacture of non-domestic cooling and ventilation equipment"
"28.25Z","Fabrication d'équipements aérauliques et frigorifiques industriels","Manufacture of non-domestic cooling and ventilation equipment"
"28.29","Fabrication de machines diverses d'usage général","Manufacture of other general-purpose machinery n.e.c."
"28.29A","Fabrication d'équipements d'emballage, de conditionnement et de pesage","Manufacture of packing, packaging and weighing equipment"
"28.29B","Fabrication d'autres machines d'usage général","Manufacture of other general purpose machinery"
"28.3","Fabrication de machines agricoles et forestières","Manufacture of agricultural and forestry machinery"
"28.30","Fabrication de machines agricoles et forestières","Manufacture of agricultural and forestry machinery"
"28.30Z","Fabrication de machines agricoles et forestières","Manufacture of agricultural and forestry machinery"
"28.4","Fabrication de machines de formage des métaux et de machines-outils","Manufacture of metal forming machinery and machine tools"
"28.41","Fabrication de machines de formage des métaux","Manufacture of metal forming machinery"
"28.41Z","Fabrication de machines-outils pour le travail des métaux","Manufacture of machine-tools for metal work"
"28.49","Fabrication d'autres machines-outils","Manufacture of other machine tools"
"28.49Z","Fabrication d'autres machines-outils","Manufacture of other machine tools"
"28.9","Fabrication d'autres machines d'usage spécifique","Manufacture of other special-purpose machinery"
"28.91","Fabrication de machines pour la métallurgie","Manufacture of machinery for metallurgy"
"28.91Z","Fabrication de machines pour la métallurgie","Manufacture of machinery for metallurgy"
"28.92","Fabrication de machines pour l'extraction ou la construction","Manufacture of machinery for mining, quarrying and construction"
"28.92Z","Fabrication de machines pour l'extraction ou la construction","Manufacture of machinery for mining, quarrying and construction"
"28.93","Fabrication de machines pour l'industrie agro-alimentaire","Manufacture of machinery for food, beverage and tobacco processing"
"28.93Z","Fabrication de machines pour l'industrie agro-alimentaire","Manufacture of machinery for food, beverage and tobacco processing"
"28.94","Fabrication de machines pour les industries textiles","Manufacture of machinery for textile, apparel and leather production"
"28.94Z","Fabrication de machines pour les industries textiles","Manufacture of machinery for textile, apparel and leather production"
"28.95","Fabrication de machines pour les industries du papier et du carton","Manufacture of machinery for paper and paperboard production"
"28.95Z","Fabrication de machines pour les industries du papier et du carton","Manufacture of machinery for paper and paperboard production"
"28.96","Fabrication de machines pour le travail du caoutchouc ou des plastiques","Manufacture of plastics and rubber machinery"
"28.96Z","Fabrication de machines pour le travail du caoutchouc ou des plastiques","Manufacture of plastics and rubber machinery"
"28.99","Fabrication d'autres machines d'usage spécifique n.c.a.","Manufacture of other special-purpose machinery n.e.c."
"28.99A","Fabrication de machines d'imprimerie","Manufacture of printing machinery"
"28.99B","Fabrication d'autres machines spécialisées","Manufacture of other special purpose machinery"
"29","Industrie automobile","Manufacture of motor vehicles, trailers and semi-trailers"
"29.1","Construction de véhicules automobiles","Manufacture of motor vehicles"
"29.10","Construction de véhicules automobiles","Manufacture of motor vehicles"
"29.10Z","Construction de véhicules automobiles","Manufacture of motor vehicles"
"29.2","Fabrication de carrosseries et remorques","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"29.20","Fabrication de carrosseries et remorques","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"29.20Z","Fabrication de carrosseries et remorques","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"29.3","Fabrication d'équipements automobiles","Manufacture of parts and accessories for motor vehicles"
"29.31","Fabrication d'équipements électriques et électroniques automobiles","Manufacture of electrical and electronic equipment for motor vehicles"
"29.31Z","Fabrication d'équipements électriques et électroniques automobiles","Manufacture of electrical and electronic equipment for motor vehicles"
"29.32","Fabrication d'autres équipements automobiles","Manufacture of other parts and accessories for motor vehicles"
"29.32Z","Fabrication d'autres équipements automobiles","Manufacture of other parts and accessories for motor vehicles"
"30","Fabrication d'autres matériels de transport","Manufacture of other transport equipment"
"30.1","Construction navale","Building of ships and boats"
"30.11","Construction de navires et de structures flottantes","Building of ships and floating structures"
"30.11Z","Construction de navires et de structures flottantes","Building of ships and floating structures"
"30.12","Construction de bateaux de plaisance","Building of pleasure and sporting boats"
"30.12Z","Construction de bateaux de plaisance","Building of pleasure and sporting boats"
"30.2","Construction de locomotives et d'autre matériel ferroviaire roulant","Manufacture of railway locomotives and rolling stock"
"30.20","Construction de locomotives et d'autre matériel ferroviaire roulant","Manufacture of railway locomotives and rolling stock"
"30.20Z","Construction de locomotives et d'autre matériel ferroviaire roulant","Manufacture of railway locomotives and rolling stock"
"30.3","Construction aéronautique et spatiale","Manufacture of air and spacecraft and related machinery"
"30.30","Construction aéronautique et spatiale","Manufacture of air and spacecraft and related machinery"
"30.30Z","Construction aéronautique et spatiale","Manufacture of air and spacecraft and related machinery"
"30.4","Construction de véhicules militaires de combat","Manufacture of military fighting vehicles"
"30.40","Construction de véhicules militaires de combat","Manufacture of military fighting vehicles"
"30.40Z","Construction de véhicules militaires de combat","Manufacture of military fighting vehicles"
"30.9","Fabrication de matériels de transport n.c.a.","Manufacture of transport equipment n.e.c."
"30.91","Fabrication de motocycles","Manufacture of motorcycles"
"30.91Z","Fabrication de motocycles","Manufacture of motorcycles"
"30.92","Fabrication de bicyclettes et de véhicules pour invalides","Manufacture of bicycles and invalid carriages"
"30.92Z","Fabrication de bicyclettes et de véhicules pour invalides","Manufacture of bicycles and invalid carriages"
"30.99","Fabrication d'autres équipements de transport n.c.a.","Manufacture of other transport equipment n.e.c."
"30.99Z","Fabrication d'autres équipements de transport n.c.a.","Manufacture of other transport equipment n.e.c."
"31","Fabrication de meubles","Manufacture of furniture"
"31.0","Fabrication de meubles","Manufacture of furniture"
"31.01","Fabrication de meubles de bureau et de magasin","Manufacture of office and shop furniture"
"31.01Z","Fabrication de meubles de bureau et de magasin","Manufacture of office and shop furniture"
"31.02","Fabrication de meubles de cuisine","Manufacture of kitchen furniture"
"31.02Z","Fabrication de meubles de cuisine","Manufacture of kitchen furniture"
"31.03","Fabrication de matelas","Manufacture of mattresses"
"31.03Z","Fabrication de matelas","Manufacture of mattresses"
"31.09","Fabrication d'autres meubles","Manufacture of other furniture"
"31.09A","Fabrication de sièges d'ameublement d'intérieur","Manufacture of home furnishing chairs and seats"
"31.09B","Fabrication d'autres meubles et industries connexes de l'ameublement","Manufacture of other furniture and industry closely related to furnishing"
"32","Autres industries manufacturières","Other manufacturing"
"32.1","Fabrication d'articles de joaillerie, bijouterie et articles similaires","Manufacture of jewellery, bijouterie and related articles"
"32.11","Frappe de monnaie","Striking of coins"
"32.11Z","Frappe de monnaie","Striking of coins"
"32.12","Fabrication d'articles de joaillerie et bijouterie","Manufacture of jewellery and related articles"
"32.12Z","Fabrication d'articles de joaillerie et bijouterie","Manufacture of jewellery and related articles"
"32.13","Fabrication d'articles de bijouterie fantaisie et articles similaires","Manufacture of imitation jewellery and related articles"
"32.13Z","Fabrication d'articles de bijouterie fantaisie et articles similaires","Manufacture of imitation jewellery and related articles"
"32.2","Fabrication d'instruments de musique","Manufacture of musical instruments"
